Otázka;Odpov??
Co jsou to reten?ní aparáty?;Reten?ní aparáty jsou používány po ortodontické lé?b? pro udržení výsledk?.
Jak dlouho trvá lé?ba neviditelnými rovnátky?;Lé?ba neviditelnými rovnátky trvá obvykle stejn? dlouho jako klasická rovnátka.
Jaký je postup p?i zán?tu dásní?;Zán?t dásní se lé?í profesionálním ?išt?ním a zlepšením hygieny.
Co d?lat, když krvácí dásn??;P?i krvácení dásní je doporu?eno ?ast?jší ?išt?ní a návšt?va hygienisty.
Jak se starat o d?tské zuby?;D?tské zuby vyžadují pravidelnou pé?i a dohled nad stravou.
Jaký je rozdíl mezi plnou a ?áste?nou korunkou?;Plná korunka pokrývá celý zub, ?áste?ná jen ?ást jeho povrchu.
Jak probíhá lé?ba zlomeného zubu?;Lé?ba zlomeného zubu závisí na rozsahu poškození, m?že zahrnovat korunku nebo výpl?.
Co d?lat p?i úrazu zub??;P?i úrazu zub? je d?ležitIn order to copy and paste these FAQs with their answers into Airtable, you can follow these steps:
Jak dlouho trvá zákrok implantace?;Zákrok implantace obvykle trvá 1 až 2 hodiny.
Jaké jsou možnosti estetických zákrok??;Ordinace nabízí b?lení zub?, fazety, estetické výpln? a keramické korunky.
Nabízíte konzultace pro pacienty?;Ano, nabízíme konzultace pro pacienty.
Jaké jsou výhody dentální hygieny?;Dentální hygiena pomáhá p?edcházet zubním problém?m a zlepšuje celkové zdraví dutiny ústní.
Jak dlouho trvá zákrok p?i ošet?ení kazu?;Ošet?ení kazu trvá 30 až 60 minut.
Jaký je rozdíl mezi amalgámovou a bílou plombou?;Amalgámová plomba je kovová, bílá plomba je estetická a splývá s barvou zubu.
Jaké jsou p?íznaky zubní infekce?;P?íznaky zubní infekce zahrnují bolest, otok a citlivost.
Jak se pe?uje o zuby po implantaci?;Po implantaci je nutná pravidelná hygiena a kontroly.
Jaký je postup p?i komplikacích s implantátem?;Komplikace vyžadují kontrolu u léka?e, n?kdy odstran?ní implantátu.
Jaké jsou možnosti p?i ztrát? více zub??;Možnosti p?i ztrát? zub? zahrnují m?stky, protézy nebo implantáty.
Co d?lat p?i akutní bolesti zub? mimo ordina?ní hodiny?;Užívejte analgetika a navštivte léka?e co nejd?íve.
Jaké jsou nej?ast?jší p?í?iny bolesti zub??;Nej?ast?jší p?í?iny jsou zubní kaz, zán?t dásní a absces.
Jaký je postup p?i ošet?ení citlivých zub??;Citlivé zuby se ošet?ují fluoridovými p?ípravky a speciálními pastami.
